Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0005,NuGet package is deprecated,Active,Optional,1,src\foundation\src\PDFsharp\tests\PdfSharp.Tests\PdfSharp.Tests.csproj,File,src\foundation\src\PDFsharp\tests\PdfSharp.Tests\PdfSharp.Tests.csproj,,,Xunit.Core 2.9.3,,,,,"Xunit.Core, 2.9.3  Recommendation:  Guide for migrating from xUnit.net v2 to v3: https://xunit.net/docs/getting-started/v3/migration Remove Xunit.Core, and replace with new package Xunit.Core, 2.9.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\foundation\src\PDFsharp\tests\PdfSharp.Tests\PdfSharp.Tests.csproj,File,src\foundation\src\PDFsharp\tests\PdfSharp.Tests\PdfSharp.Tests.csproj,,,,,,,,Current target framework: net8.0;net9.0;net10.0;net462 Recommended target framework: net8.0;net9.0;net10.0;net462;net10.0
NuGet.0005,NuGet package is deprecated,Active,Optional,1,src\foundation\src\PDFsharp\tests\PdfSharp.Tests-gdi\PdfSharp.Tests-gdi.csproj,File,src\foundation\src\PDFsharp\tests\PdfSharp.Tests-gdi\PdfSharp.Tests-gdi.csproj,,,Xunit.Core 2.9.3,,,,,"Xunit.Core, 2.9.3  Recommendation:  Guide for migrating from xUnit.net v2 to v3: https://xunit.net/docs/getting-started/v3/migration Remove Xunit.Core, and replace with new package Xunit.Core, 2.9.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\foundation\src\PDFsharp\tests\PdfSharp.Tests-gdi\PdfSharp.Tests-gdi.csproj,File,src\foundation\src\PDFsharp\tests\PdfSharp.Tests-gdi\PdfSharp.Tests-gdi.csproj,,,,,,,,Current target framework: net8.0-windows;net9.0-windows;net10.0-windows;net462 Recommended target framework: net8.0-windows;net9.0-windows;net10.0-windows;net462;net10.0--windows;net10.0
NuGet.0005,NuGet package is deprecated,Active,Optional,1,src\foundation\src\PDFsharp\tests\PdfSharp.tests-wpf\PdfSharp.tests-wpf.csproj,File,src\foundation\src\PDFsharp\tests\PdfSharp.tests-wpf\PdfSharp.tests-wpf.csproj,,,Xunit.Core 2.9.3,,,,,"Xunit.Core, 2.9.3  Recommendation:  Guide for migrating from xUnit.net v2 to v3: https://xunit.net/docs/getting-started/v3/migration Remove Xunit.Core, and replace with new package Xunit.Core, 2.9.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\foundation\src\PDFsharp\tests\PdfSharp.tests-wpf\PdfSharp.tests-wpf.csproj,File,src\foundation\src\PDFsharp\tests\PdfSharp.tests-wpf\PdfSharp.tests-wpf.csproj,,,,,,,,Current target framework: net8.0-windows;net9.0-windows;net10.0-windows;net462 Recommended target framework: net8.0-windows;net9.0-windows;net10.0-windows;net462;net10.0-windows
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\foundation\src\shared\src\PdfSharp.WPFonts\PdfSharp.WPFonts.csproj,File,src\foundation\src\shared\src\PdfSharp.WPFonts\PdfSharp.WPFonts.csproj,,,,,,,,Current target framework: net8.0;net9.0;net10.0;netstandard2.0 Recommended target framework: net8.0;net9.0;net10.0;netstandard2.0;net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\foundation\src\PDFsharp\src\PdfSharp-gdi\PdfSharp-gdi.csproj,File,src\foundation\src\PDFsharp\src\PdfSharp-gdi\PdfSharp-gdi.csproj,,,System.Resources.Extensions 8.0.0,,,,,"System.Resources.Extensions, 8.0.0  Recommendation:  Remove System.Resources.Extensions, and replace with new package System.Resources.Extensions 10.0.2"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\foundation\src\PDFsharp\src\PdfSharp-gdi\PdfSharp-gdi.csproj,File,src\foundation\src\PDFsharp\src\PdfSharp-gdi\PdfSharp-gdi.csproj,,,,,,,,Current target framework: net8.0-windows;net9.0-windows;net10.0-windows;net462 Recommended target framework: net8.0-windows;net9.0-windows;net10.0-windows;net462;net10.0--windows;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\foundation\src\PDFsharp\src\PdfSharp-wpf\PdfSharp-wpf.csproj,File,src\foundation\src\PDFsharp\src\PdfSharp-wpf\PdfSharp-wpf.csproj,,,,,,,,Current target framework: net8.0-windows;net9.0-windows;net10.0-windows;net462 Recommended target framework: net8.0-windows;net9.0-windows;net10.0-windows;net462;net10.0-windows
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\foundation\src\shared\testapps\Shared.TestApp\Shared.TestApp.csproj,File,src\foundation\src\shared\testapps\Shared.TestApp\Shared.TestApp.csproj,,,Microsoft.Extensions.Logging.Console 8.0.1,,,,,"Microsoft.Extensions.Logging.Console, 8.0.1  Recommendation:  Remove Microsoft.Extensions.Logging.Console, and replace with new package Microsoft.Extensions.Logging.Console 10.0.2"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\foundation\src\shared\testapps\Shared.TestApp\Shared.TestApp.csproj,File,src\foundation\src\shared\testapps\Shared.TestApp\Shared.TestApp.csproj,,,,,,,,Current target framework: net8.0;net9.0;net10.0;net462 Recommended target framework: net8.0;net9.0;net10.0;net462;net10.0
NuGet.0005,NuGet package is deprecated,Active,Optional,1,src\foundation\src\shared\tests\Shared.Tests\Shared.Tests.csproj,File,src\foundation\src\shared\tests\Shared.Tests\Shared.Tests.csproj,,,Xunit.Core 2.9.3,,,,,"Xunit.Core, 2.9.3  Recommendation:  Guide for migrating from xUnit.net v2 to v3: https://xunit.net/docs/getting-started/v3/migration Remove Xunit.Core, and replace with new package Xunit.Core, 2.9.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\foundation\src\shared\tests\Shared.Tests\Shared.Tests.csproj,File,src\foundation\src\shared\tests\Shared.Tests\Shared.Tests.csproj,,,,,,,,Current target framework: net8.0;net462 Recommended target framework: net8.0;net462;net10.0
